Country,Rank,Overall_score,Electoral_process_and_pluralism,Functioning_of_government,Political_participation,Political_culture,Civil_liberties
Syrian Arab Republic,166,1.43,0.00,0.00,2.78,4.38,0.00
Tajikistan,158,1.95,0.58,0.07,1.67,6.25,1.18
Thailand,98,5.09,4.50,3.93,5.56,5.00,6.47
Trinidad and Tobago,47,7.10,9.58,7.14,5.56,5.00,8.24
Tunisia,57,6.72,7.00,6.07,7.78,6.88,5.88
Turkey,97,5.12,6.67,5.36,5.00,5.63,2.94
Turkmenistan,162,1.83,0.00,0.79,2.78,5.00,0.59
Ukraine,88,5.70,5.83,3.93,6.67,5.00,7.06
United Arab Emirates,148,2.75,0.00,3.57,2.22,5.00,2.94
United Kingdom,16,8.31,9.58,7.14,6.67,8.75,9.41
United States of America,20,8.05,9.17,7.50,7.22,8.13,8.24
Uruguay,19,8.17,10.00,8.93,4.44,7.50,10.00
Uzbekistan,158,1.95,0.08,1.86,2.22,5.00,0.59
Venezuela (Bolivarian Republic of),99,5.00,6.08,3.93,5.00,4.38,5.59
Zimbabwe,141,3.05,0.50,2.00,3.89,5.63,3.24
